kEPStr    中文    英文    日文    韩文
kEPNoChip    未检测到筹码 No chip detected    未检测到筹码 អត់មានកាក់    未检测到筹码 អត់មានកាក់    未检测到筹码 អត់មានកាក់

kEPSuperDouble    超级翻倍 Super double    超级翻倍 ស៊ុបពើ នីវ    超级翻倍 ស៊ុបពើ នីវ    超级翻倍 ស៊ុបពើ នីវ
kEPDouble    翻倍 Double    翻倍 ចាក់ទឹក    翻倍 ចាក់ទឹក    翻倍 ចាក់ទឹក
kEPPingTimes    平倍 Equal    平倍 ចាក់ ស្មើ    平倍 ចាក់ ស្មើ    平倍 ចាក់ ស្មើ
kEPNiuniu    牛牛    នីវ នីវ    នីវ នីវ    នីវ នីវ
kEPFiveCow    五花牛    អុង 5    អុង 5    អុង 5
kEPBomb    炸弹    ការ៉េ    ការ៉េ    ការ៉េ
kEPSmallCow    五小牛    បៀ 5 សន្លឹក 10 គ្រាប់    បៀ 5 សន្លឹក 10 គ្រាប់    បៀ 5 សន្លឹក 10 គ្រាប់
kEPNoCow    无牛 No cow    无牛 បៀអត់ចេញ    无牛 បៀអត់ចេញ    无牛 បៀអត់ចេញ
kEPAddChip    应加赔 Should increase the payment    应加赔 ត្រូវតែបន្ថែម    应加赔 ត្រូវតែបន្ថែម    应加赔 ត្រូវតែបន្ថែម
kEPDragon    Dragon    នាគ    នាគ    នាគ
kEPTiger    Tiger    ខ្លា    ខ្លា    ខ្លា
kEPTigerHe    Tie    ស្មើ    ស្មើ    ស្មើ
kEPAllKill    全杀 Pay all    全杀 សីុទាំងអស់    全杀 សីុទាំងអស់    全杀 សីុទាំងអស់
kEPHalfKill    杀一半 Pay half    杀一半 ស៊ីកន្លះលុយ    杀一半 ស៊ីកន្លះលុយ    杀一半 ស៊ីកន្លះលុយ
kEPBindChipConfirm    Please confirm that the guest number is correct？    តើអ្នកប្រាកដថាអ្នកបញ្ចូលលេខទូរស័ព្ទត្រឹមត្រូវទេ?     តើអ្នកប្រាកដថាអ្នកបញ្ចូលលេខទូរស័ព្ទត្រឹមត្រូវទេ?    តើអ្នកប្រាកដថាអ្នកបញ្ចូលលេខទូរស័ព្ទត្រឹមត្រូវទេ?
kEPBindChipSucceed    绑定成功 Binding success    绑定成功 ចងដោយជោគជ័យ!    绑定成功 ចងដោយជោគជ័យ!    绑定成功 ចងដោយជោគជ័យ!
kEPClearWashNumberConfirm    Are you sure to clear the guest number?    តើអ្នកប្រាកដថាលុបលេខរបស់អតិថិជនមែនទេ?    តើអ្នកប្រាកដថាលុបលេខរបស់អតិថិជនមែនទេ?    តើអ្នកប្រាកដថាលុបលេខរបស់អតិថិជនមែនទេ?
kEPclearSucceed    清除成功 Cleared successfully    清除成功 បានជម្រះដោយជោគជ័យ!    清除成功 បានជម្រះដោយជោគជ័យ!    清除成功 បានជម្រះដោយជោគជ័យ!
kEPRealpay    实赔 Actual payout    实赔 សងអស់ប៉ុន្មាន    实赔 សងអស់ប៉ុន្មាន    实赔 សងអស់ប៉ុន្មាន
kEPShazhu    杀注 Pay    杀注 បង់    杀注 បង់    杀注 បង់
kEPZhuangshu    庄输 B.Lost    庄输 មេ ចាញ់    庄输 មេ ចាញ់    庄输 មេ ចាញ់
kEPXianshu    闲输 P.Lost    闲输 កូន ចាញ់    闲输 កូន ចាញ់    闲输 កូន ចាញ់
kEPCurrentReadMoney    当前识别金额 Current amount    当前识别金额 ចំនួនទឹកប្រាក់ដែលបានកត់ត្រា    当前识别金额 ចំនួនទឹកប្រាក់ដែលបានកត់ត្រា    当前识别金额 ចំនួនទឹកប្រាក់ដែលបានកត់ត្រា
kEPDrgonWin    龙赢 Dragon Win    龙赢 នាគ ឈ្នះ    龙赢 នាគ ឈ្នះ    龙赢 នាគ ឈ្នះ
kEPTigerWin    虎赢 Tiger win    虎赢 ខ្លា ឈ្នះ    虎赢 ខ្លា ឈ្នះ    虎赢 ខ្លា ឈ្នះ
kEPLookluzhu    View Results    មើលលទ្ធផល    មើលលទ្ធផល    មើលលទ្ធផល
kEPRecordTipsFee    Tip    បន្ទន់    បន្ទន់    បន្ទន់
kEPDaily    Daily settlement    ដំណោះស្រាយ    ដំណោះស្រាយ    ដំណោះស្រាយ


